2026-01-20 11:14:00,519 | news_collector | INFO | ======================================================================
2026-01-20 11:14:00,520 | news_collector | INFO | ✅ Articles sauvegardés: data/articles_raw.jsonl
2026-01-20 11:14:00,521 | news_collector | INFO | ✅ Erreurs sauvegardées: data/collection_errors.json
2026-01-20 11:14:00,521 | __main__ | INFO | ✅ ÉTAPE 1 COMPLÉTÉE : 63 articles collectés
2026-01-20 11:14:00,522 | __main__ | INFO | 
===========================================================================
2026-01-20 11:14:00,522 | __main__ | INFO | ÉTAPE 2 : PRÉTRAITEMENT NLP
2026-01-20 11:14:00,523 | __main__ | INFO | ===========================================================================
2026-01-20 11:14:03,501 | text_preprocessor | INFO | ✅ Modèle spaCy chargé: fr_core_news_sm
2026-01-20 11:14:03,502 | text_preprocessor | INFO | 🔧 Preprocessing 63 articles...
2026-01-20 11:14:03,718 | text_preprocessor | INFO |   ✓ 20/63 articles
2026-01-20 11:14:03,912 | text_preprocessor | INFO |   ✓ 40/63 articles
2026-01-20 11:14:04,092 | text_preprocessor | INFO |   ✓ 60/63 articles
2026-01-20 11:14:04,123 | text_preprocessor | INFO | ✅ Preprocessing terminé: 63 articles
2026-01-20 11:14:04,125 | __main__ | INFO | ✅ ÉTAPE 2 COMPLÉTÉE : 63 articles traités
2026-01-20 11:14:04,125 | __main__ | INFO | 
===========================================================================
2026-01-20 11:14:04,126 | __main__ | INFO | ÉTAPE 3 : CLASSIFICATION & EXTRACTION
2026-01-20 11:14:04,126 | __main__ | INFO | ===========================================================================
2026-01-20 11:14:04,126 | news_classifier | INFO | 📥 Chargement modèle: distilbert-base-multilingual-uncased...
2026-01-20 11:14:04,294 | news_classifier | ERROR | ❌ Erreur chargement modèle: distilbert-base-multilingual-uncased is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `hf auth login` or by passing `token=<your_token>`
2026-01-20 11:14:04,453 | news_classifier | WARNING | ⚠️ Sentiment classifier: Your currently installed version of Keras is Keras 3, but this is not yet supported in Transformers. Please install the backwards-compatible tf-keras package with `pip install tf-keras`.
2026-01-20 11:14:04,454 | news_classifier | INFO | 🤖 Classification 63 articles...
2026-01-20 11:14:04,454 | news_classifier | INFO |   ✓ 10/63 articles
2026-01-20 11:14:04,454 | news_classifier | INFO |   ✓ 20/63 articles
2026-01-20 11:14:04,455 | news_classifier | INFO |   ✓ 30/63 articles
2026-01-20 11:14:04,455 | news_classifier | INFO |   ✓ 40/63 articles
2026-01-20 11:14:04,455 | news_classifier | INFO |   ✓ 50/63 articles
2026-01-20 11:14:04,455 | news_classifier | INFO |   ✓ 60/63 articles
2026-01-20 11:14:04,455 | news_classifier | INFO | 🔍 Duplicate detection (threshold=0.85)...
2026-01-20 11:14:04,458 | news_classifier | INFO | ✅ Duplicate detection: 1 doublons trouvés
2026-01-20 11:14:04,459 | news_classifier | INFO | ✅ Classification terminée: 63 articles
2026-01-20 11:14:04,461 | __main__ | INFO | ✅ ÉTAPE 3 COMPLÉTÉE : 63 articles classifiés
2026-01-20 11:14:04,462 | __main__ | INFO | 
===========================================================================
2026-01-20 11:14:04,462 | __main__ | INFO | ÉTAPE 4 : GÉNÉRATION RAPPORT
2026-01-20 11:14:04,462 | __main__ | INFO | ===========================================================================
2026-01-20 11:14:04,463 | report_generator | INFO | 📝 Génération rapport...
2026-01-20 11:14:04,463 | report_generator | INFO | 📈 Extraction trending topics...
